Table 11: Palm Oil: World Supply and Distribution


                ,2022/23,2023/24,2024/25,2025/26,Jun 2026/27,Jul 2026/27,
Production,
                            nr,nr,nr,nr,nr,nr,
 Indonesia,45000,43000,45500,46700,47500,47500,
 Malaysia,18389,19710,19380,20200,19600,19600,
 Thailand,3321,3274,3740,3900,3720,3720,
 Colombia,1853,1875,1900,2000,2000,2000,
 Nigeria,1400,1500,1500,1500,1500,1500,
 Other,6795,6816,6918,7161,7041,7121,

    Total,76758,76175,78938,81461,81361,81441,

Imports,
                            nr,nr,nr,nr,nr,nr,
 India,10045,8886,7786,9050,8800,8800,
 China,6190,4377,3203,4175,3900,3900,
 Pakistan,3094,2980,3325,3650,3700,3700,
 European Union,4576,4013,3135,3500,3200,3200,
 United States,1887,1864,1542,1450,1800,1800,
 Bangladesh,1610,1676,1540,1600,1750,1750,
 Philippines,892,1083,1406,1250,1300,1300,
 Egypt,1052,1171,1301,1400,1200,1200,
 Vietnam,1112,1071,1076,1150,1175,1175,
 Kenya,848,875,811,900,950,950,
 Other,15335,14363,16234,15139,15608,15608,

    Total,46641,42359,41359,43264,43383,43383,

Exports,
                            nr,nr,nr,nr,nr,nr,
 Indonesia,28077,22273,23471,23700,24150,24150,
 Malaysia,15355,16530,15617,16350,15800,15800,
 Thailand,902,878,1302,1000,1000,1000,
 Papua New Guinea,813,669,740,830,850,850,
 Guatemala,883,620,566,650,650,650,
 Other,3337,3440,3322,3222,3208,3208,

    Total,49367,44410,45018,45752,45658,45658,

Domestic Consumption,
                            nr,nr,nr,nr,nr,nr,
 Indonesia,19125,21075,22375,22925,23375,23375,
 India,8900,8990,8800,9105,9150,9150,
 Malaysia,3975,3667,4165,4235,4270,4270,
 China,5400,5000,3300,4125,3940,3940,
 Pakistan,2995,3070,3250,3600,3700,3700,
 European Union,4500,3890,3200,3350,3100,3100,
 Thailand,2485,2485,2445,2735,2885,2885,
 Nigeria,1790,1840,1940,1940,2015,2015,
 United States,1875,1894,1525,1422,1788,1788,
 Bangladesh,1600,1575,1540,1650,1745,1720,
 Colombia,1500,1555,1530,1615,1670,1670,
 Philippines,1000,1040,1485,1390,1410,1410,
 Egypt,1060,1160,1250,1365,1210,1230,
 Vietnam,1037,1007,1040,1100,1125,1125,
 Brazil,825,920,950,990,1050,1050,
 Other,15776,15936,17447,16926,17139,17239,

    Total,73843,75104,76242,78473,79572,79667,

Ending Stocks,
                            nr,nr,nr,nr,nr,nr,
 Indonesia,5108,4761,4416,4491,4466,4466,
 Malaysia,2312,2014,2360,2475,2455,2455,
 India,2419,2615,1898,2098,2003,2003,
 Colombia,856,842,717,752,757,757,
 Thailand,499,412,409,576,412,412,
 Other,5800,5370,5251,5159,4840,4957,

    Total,16994,16014,15051,15551,14933,15050,
